,title,rate,price,link
0,GFRIEND 10th Anniversary < Season of Memories >,24.84%,"[165000, 165000]",https://www.ticketlink.co.kr/product/53578
1,스테이지 파이터 [THE ORIGINALS] TOUR - 대구,18.28%,"[132000, 121000, 99000]",https://www.ticketlink.co.kr/product/53719
2,공일오비(015B) 콘서트 - 의성,10.60%,"[20000, 10000]",https://www.ticketlink.co.kr/product/53344
3,2024 LOVE FNC COUNTDOWN,9.75%,[121000],https://www.ticketlink.co.kr/product/53659
4,스테이지 파이터 [THE ORIGINALS] TOUR - 부산,9.11%,"[132000, 121000, 99000]",https://www.ticketlink.co.kr/product/53720
5,스테이지 파이터 [THE ORIGINALS] TOUR - 광주,6.69%,"[132000, 121000, 99000]",https://www.ticketlink.co.kr/product/53703
6,이승환 35주년 콘서트 < HEAVEN > - 용인,4.99%,"[154000, 143000]",https://www.ticketlink.co.kr/product/53708
7,2024 SUPER JUNIOR - D&E FAN PARTY < Jingle Jingle! >,1.19%,[99000],https://www.ticketlink.co.kr/product/53566
8,YUURI ARENA LIVE 2025 at SEOUL,1.19%,"[135000, 135000]",https://www.ticketlink.co.kr/product/53163
9,[20집 발매 기념 조용필 & 위대한탄생 Concert - 대전],1.12%,"[176000, 165000, 143000, 110000]",https://www.ticketlink.co.kr/product/53631
10,뮤지컬 디바 콘서트 「Dreams come true」 - 포항,0.92%,"[50000, 40000]",https://www.ticketlink.co.kr/product/53697
11,Best of Fujii Kaze 2020-2024 ASIA TOUR in SEOUL,0.92%,"[187000, 176000, 165000, 143000, 121000]",https://www.ticketlink.co.kr/product/52025
12,스테이지 파이터 [THE ORIGINALS] TOUR - 인천,0.61%,"[132000, 121000, 99000]",https://www.ticketlink.co.kr/product/53497
13,라이온킹 라이브 인 콘서트,0.58%,"[132000, 121000, 110000, 99000]",https://www.ticketlink.co.kr/product/53737
14,2024 2am 콘서트 < 2am is coming to town > - 의성,0.58%,"[132000, 110000, 30000, 30000, 20000, 20000]",https://www.ticketlink.co.kr/product/53343
15,2024 포레스텔라 Encore 콘서트 < THE ILLUSIONIST >,0.58%,"[154000, 132000, 110000]",https://www.ticketlink.co.kr/product/53323
16,[20집 발매 기념 조용필&위대한탄생 Concert - 인천],0.48%,"[176000, 165000, 143000, 110000]",https://www.ticketlink.co.kr/product/53590
17,[20집 발매 기념 조용필&위대한탄생 Concert - 부산],0.41%,"[176000, 165000, 143000, 110000]",https://www.ticketlink.co.kr/product/53006
18,2024 인문학과 함께하는 브런치콘서트 - 궤도,0.41%,[15000],https://www.ticketlink.co.kr/product/48236
19,Winter Festa (소란 & 아도이)-군산,0.37%,"[50000, 30000]",https://www.ticketlink.co.kr/product/53297
20,2024 심수봉 전국투어콘서트 : 꽃길 - 당진,0.34%,"[121000, 110000]",https://www.ticketlink.co.kr/product/53020
21,2025 김창옥 토크콘서트 시즌 4 - 대전,0.31%,"[88000, 77000]",https://www.ticketlink.co.kr/product/53721
22,2024 이솔로몬 연말 콘서트 <끝날 듯이>,0.27%,[132000],https://www.ticketlink.co.kr/product/53422
23,WONDERLAND FESTIVAL 2024,0.27%,"[132000, 110000, 88000]",https://www.ticketlink.co.kr/product/53021
24,2024 송년콘서트 김정민&박기영 - 고령,0.24%,"[35000, 25000]",https://www.ticketlink.co.kr/product/53384
25,"2024 RO WOON FAN MEETING '그 해, 겨울을 지나서'",0.24%,[88000],https://www.ticketlink.co.kr/product/53252
26,이승환 35주년 콘서트 < HEAVEN > - 성남,0.20%,"[154000, 143000, 121000]",https://www.ticketlink.co.kr/product/53567
27,2024 이승철 콘서트 <오케스트락2> 부산공연,0.20%,"[198000, 165000, 132000, 132000]",https://www.ticketlink.co.kr/product/52337
28,2024 어반자카파 전국투어 콘서트 열다섯 번째 '겨울' - 창원,0.20%,"[154000, 143000, 132000]",https://www.ticketlink.co.kr/product/52246
29,2024 SOMEDAY PLEROMA,0.17%,"[132000, 110000, 99000, 88000]",https://www.ticketlink.co.kr/product/53663
30,이승환 35주년 콘서트 < HEAVEN > - 천안,0.17%,"[154000, 143000, 121000]",https://www.ticketlink.co.kr/product/53547
31,2024 김연우 크리스마스 콘서트 <오마이갓연우>,0.17%,"[159000, 149000, 139000]",https://www.ticketlink.co.kr/product/52971
32,THE GREATEST : 불후의 명곡 정동하X알리 - 대구,0.17%,"[121000, 110000]",https://www.ticketlink.co.kr/product/52830
33,NieR : Orchestra Concert 1 2 0 2 4 [ the end of data ],0.17%,"[219000, 143000, 132000, 121000, 88000]",https://www.ticketlink.co.kr/product/52474
34,재즈보컬리스트 나윤선 크리스마스 콘서트 'Elles',0.17%,"[30000, 20000, 10000]",https://www.ticketlink.co.kr/product/52355
35,2024 김창완밴드 전국투어 <개구쟁이> - 포항,0.17%,[121000],https://www.ticketlink.co.kr/product/52182
36,2025 데뷔 40주년 김범룡 콘서트 - 서울,0.14%,"[132000, 110000]",https://www.ticketlink.co.kr/product/53533
37,스테이지 파이터 [THE ORIGINALS] TOUR - 서울,0.14%,[132000],https://www.ticketlink.co.kr/product/53474
38,2025 심수봉 전국투어 콘서트 : 꽃길 - 전주,0.14%,"[121000, 110000]",https://www.ticketlink.co.kr/product/53461
39,알리 20주년 콘서트 - 용진(勇進),0.14%,[132000],https://www.ticketlink.co.kr/product/53286
40,2024-25 린 전국투어 콘서트 < Queen of Serenade > - 서울,0.14%,"[143000, 132000]",https://www.ticketlink.co.kr/product/53018
41,승리의 여신: 니케 - 오케스트라 콘서트 MELODIES OF VICTORY,0.14%,"[132000, 121000, 110000, 77000]",https://www.ticketlink.co.kr/product/52900
42,LoveLive! Series AsiaTour 2024,0.14%,"[165000, 148000, 126000]",https://www.ticketlink.co.kr/product/51390
43,YOUNITE 1ST SINGLE ALBUM 'Y' COMEBACK SHOWCASE,0.10%,[20000],https://www.ticketlink.co.kr/product/53648
44,<1월의 봄> 정훈희 x 송창식 with 함춘호 콘서트 - 군포,0.10%,"[132000, 110000]",https://www.ticketlink.co.kr/product/53527
45,이승환 35주년 콘서트 < HEAVEN > - 청주,0.10%,"[154000, 143000, 121000]",https://www.ticketlink.co.kr/product/53477
46,2024 Someday Christmas in 부산,0.10%,[110000],https://www.ticketlink.co.kr/product/53148
47,2024 CHOI JIN HYUK FAN-CON Tour in SEOUL < DAY AND NIGHT >,0.10%,[77000],https://www.ticketlink.co.kr/product/53014
48,소향과 이승민이 함께하는 크리스마스 콘서트 - 부산,0.10%,"[50000, 30000, 20000]",https://www.ticketlink.co.kr/product/52964
49,소향 1집 앨범 발매기념 콘서트 Diva - 부산,0.10%,"[132000, 121000, 110000]",https://www.ticketlink.co.kr/product/52747
